"Time-UTC","A01-Hourly-Wind_Direction_degrees","A01-Hourly-Wind_Speed_m/s"
"2020-03-04 19:00:00 UTC","301.6","12.3"
"2020-03-04 19:10:00 UTC","303.8","11.7"
"2020-03-04 19:20:00 UTC","297.9","13.1"
"2020-03-04 19:30:00 UTC","300.5","12.1"
"2020-03-04 19:40:00 UTC","301.2","11.0"
"2020-03-04 19:50:00 UTC","298.7","12.1"
"2020-03-04 20:00:00 UTC","295.5","12.6"
"2020-03-04 20:10:00 UTC","296.2","11.4"
"2020-03-04 20:20:00 UTC","299.4","11.6"
"2020-03-04 20:30:00 UTC","299.7","12.6"
"2020-03-04 20:40:00 UTC","296.3","14.5"
"2020-03-04 20:50:00 UTC","295.9","12.0"
"2020-03-04 21:00:00 UTC","300.8","12.6"
"2020-03-04 21:10:00 UTC","306.0","13.9"
"2020-03-04 21:20:00 UTC","303.3","14.7"
"2020-03-04 21:30:00 UTC","310.6","13.6"
"2020-03-04 21:40:00 UTC","306.7","12.5"
"2020-03-04 21:50:00 UTC","303.1","12.4"
"2020-03-04 22:00:00 UTC","302.1","11.1"
"2020-03-04 22:10:00 UTC","304.4","11.1"
"2020-03-04 22:20:00 UTC","304.8","13.5"
"2020-03-04 22:30:00 UTC","306.7","12.2"
"2020-03-04 22:40:00 UTC","304.5","11.4"
"2020-03-04 22:50:00 UTC","306.6","10.8"
"2020-03-04 23:00:00 UTC","306.5","11.2"
"2020-03-04 23:10:00 UTC","307.3","9.9"
"2020-03-04 23:20:00 UTC","305.4","9.1"
"2020-03-04 23:30:00 UTC","299.6","7.8"
"2020-03-04 23:40:00 UTC","298.1","8.4"
"2020-03-04 23:50:00 UTC","299.4","10.4"
"2020-03-05 00:00:00 UTC","299.8","10.3"
"2020-03-05 00:10:00 UTC","297.7","10.8"
"2020-03-05 00:20:00 UTC","303.8","12.3"
"2020-03-05 00:30:00 UTC","305.1","11.9"
"2020-03-05 00:40:00 UTC","304.8","12.6"
"2020-03-05 00:50:00 UTC","303.8","13.0"
"2020-03-05 01:00:00 UTC","307.5","12.1"
"2020-03-05 01:10:00 UTC","306.2","11.3"
"2020-03-05 01:20:00 UTC","304.1","10.9"
"2020-03-05 01:30:00 UTC","299.9","10.1"
"2020-03-05 01:40:00 UTC","300.3","9.5"
"2020-03-05 01:50:00 UTC","296.9","9.0"
"2020-03-05 02:00:00 UTC","294.4","8.6"
"2020-03-05 02:10:00 UTC","293.0","8.1"
"2020-03-05 02:20:00 UTC","288.1","8.0"
"2020-03-05 02:30:00 UTC","288.1","8.2"
"2020-03-05 02:40:00 UTC","290.9","8.0"
"2020-03-05 02:50:00 UTC","290.9","8.3"
"2020-03-05 03:00:00 UTC","290.2","8.6"
"2020-03-05 03:10:00 UTC","288.1","8.9"
"2020-03-05 03:20:00 UTC","293.9","8.7"
"2020-03-05 03:30:00 UTC","293.8","8.7"
"2020-03-05 03:40:00 UTC","293.6","9.1"
"2020-03-05 03:50:00 UTC","292.8","9.1"
"2020-03-05 04:00:00 UTC","293.6","8.8"
"2020-03-05 04:10:00 UTC","290.8","8.3"
"2020-03-05 04:20:00 UTC","288.7","8.0"
"2020-03-05 04:30:00 UTC","286.3","8.4"
"2020-03-05 04:40:00 UTC","291.5","9.0"
"2020-03-05 04:50:00 UTC","291.3","8.2"
"2020-03-05 05:00:00 UTC","286.6","8.2"
"2020-03-05 05:10:00 UTC","285.8","8.1"
